Book,Chapter,RefID,Num_1_Ratings,Num_2_Ratings,Num_3_Ratings,Num_4_Ratings,Num_5_Ratings,Num_6_Ratings,Num_7_Ratings,Num_8_Ratings,Num_9_Ratings,Num_10_Ratings,Votes,Weighted_Sum,Rating
ADWD,14,ADWD14,4,1,1,2,2,3,6,13,25,82,139,1236,8.892086331
ADWD,15,ADWD15,2,0,1,2,3,8,28,34,12,13,103,782,7.59223301
ADWD,16,ADWD16,0,0,1,2,4,12,18,40,13,12,102,786,7.705882353
ADWD,17,ADWD17,2,0,0,3,5,11,33,25,8,16,103,768,7.45631068
ADWD,18,ADWD18,5,1,0,0,1,3,15,32,30,18,105,841,8.00952381
ADWD,19,ADWD19,3,0,3,1,3,6,17,40,26,21,120,950,7.916666667
ADWD,20,ADWD20,0,1,0,0,3,2,5,30,51,21,113,973,8.610619469
ADWD,21,ADWD21,2,0,0,0,0,3,4,43,36,14,102,856,8.392156863
ADWD,22,ADWD22,3,0,0,1,0,8,30,28,14,7,91,685,7.527472527
ADWD,23,ADWD23,3,0,0,0,2,3,21,40,18,7,94,730,7.765957447
ADWD,24,ADWD24,3,1,2,1,14,29,27,13,1,7,98,631,6.43877551
ADWD,25,ADWD25,1,0,0,0,0,5,12,29,29,18,94,788,8.382978723
ADWD,26,ADWD26,2,0,1,0,6,15,20,21,11,9,85,622,7.317647059
ADWD,27,ADWD27,3,0,0,0,2,2,1,23,51,23,105,905,8.619047619
ADWD,28,ADWD28,1,0,1,0,1,4,18,27,28,20,100,827,8.27
ADWD,29,ADWD29,1,1,0,0,3,1,10,31,31,19,97,811,8.360824742
ADWD,30,ADWD30,2,0,2,0,0,2,2,10,31,95,144,1343,9.326388889
ADWD,31,ADWD31,2,2,2,2,15,18,32,15,5,8,101,672,6.653465347
ADWD,32,ADWD32,0,0,1,0,0,1,13,21,43,38,117,1035,8.846153846
ADWD,33,ADWD33,4,0,0,2,1,0,7,34,48,19,115,960,8.347826087
ADWD,34,ADWD34,3,0,0,1,3,12,26,38,11,14,108,819,7.583333333
ADWD,35,ADWD35,3,0,0,0,1,0,4,19,28,64,119,1080,9.075630252
ADWD,36,ADWD36,3,0,0,2,3,8,30,30,15,7,98,729,7.43877551
ADWD,37,ADWD37,6,4,4,13,14,24,21,18,2,9,115,691,6.008695652
ADWD,38,ADWD38,1,2,1,1,1,2,8,30,38,28,112,947,8.455357143
ADWD,39,ADWD39,2,0,0,3,1,6,5,32,32,26,107,894,8.355140187
ADWD,40,ADWD40,1,0,0,0,4,4,18,30,20,9,86,681,7.918604651
ADWD,41,ADWD41,2,1,1,0,10,15,25,26,9,5,94,661,7.031914894
